iata,icao,name,lat,lon
SGK,AYSK,Sengapi Airstrip,-5.1258,144.3236
SXH,AYSL,Sehulea Airport,-9.9645,151.1619
SBC,AYSO,Selbang Airport,-5.3150,141.7520
SMH,AYSP,Sapmanga Airport,-6.0753,146.8111
SPV,AYSQ,Sepik Plains Airport,-3.8821,143.6734
TDS,AYSS,Sasereme Airport,-7.6217,142.8680
SKC,AYSU,Suki Airport,-8.0466,141.7222
SXW,AYSV,Sauren Airport,-5.9701,148.8543
SWG,AYSW,Satwag Airport,-6.1396,147.2792
MBV,AYSX,Masa Airport,-6.3450,147.5910
TIZ,AYTA,Tari Airport,-5.8450,142.9480
TBG,AYTB,Tabubil Airport,-5.2805,141.2276
TFM,AYTE,Telefomin Airport,-5.1261,141.6419
TDB,AYTF,Tetebedi Airport,-9.1586,148.0686
TGL,AYTG,Tagula Airport,-11.3311,153.2029
TFB,AYTH,Tifalmin Airport,-5.1172,141.4181
TPI,AYTI,Tapini Airport,-8.3567,146.9892
RAB,AYTK,Tokua Airport,-4.3405,152.3800
TKW,AYTN,Tekin Airport,-5.2437,142.1652
KDQ,AYTO,Kamberatoro Airport,-3.6006,141.0517
TEP,AYTP,Tep Tep Airport,-5.9553,146.5595
TBQ,AYTR,Tarabo Airport,-6.4667,145.5322
TSW,AYTS,Tsewi Airport,-7.0695,146.1272
TRJ,AYTT,Tarakbits Airport,-5.6140,141.0421
TFI,AYTU,Tufi Airport,-9.0760,149.3198
TBE,AYTV,Timbunke Airport,-4.1966,143.5192
TWY,AYTW,Tawa Airport,-7.4463,146.1067
TEO,AYTY,Terapo Airport,-8.1697,146.1944
TKB,AYTZ,Tekadu Airport,-7.6808,146.5503
UMC,AYUC,Umba Airport,-7.0214,145.9660
URU,AYUE,Uroubi Airport,-9.5162,148.5591
UBI,AYUI,Buin Airport,-6.7292,155.6833
AUV,AYUM,Aumo Airport,-5.7311,148.4453
GLP,AYUP,Gulgubip Airport,-5.2808,141.5411
UPR,AYUR,Upiara Airport,-8.5411,142.6503
KUX,AYUY,Kuyol Airport,-5.3724,141.6239
UVO,AYUZ,Uvol Airport,-6.0178,150.9557
TLW,AYVL,Talasea Airport,-5.2726,150.0089
TCJ,AYVM,Torembi Airport,-4.0165,143.1329
VAI,AYVN,Vanimo Airport,-2.6926,141.3028
TON,AYVO,Tonu Airport,-6.6552,155.4326
WUV,AYVW,Wuvulu Island Airport,-1.7361,142.8367
WAO,AYWB,Wabo Airport,-6.9894,145.0751
WTT,AYWC,Wantoat Airport,-6.1325,146.4678
WBM,AYWD,Wapenamanda Airport,-5.6353,143.8922
WAJ,AYWF,Wawoi Falls Airport,-6.9523,142.6557
AGL,AYWG,Wanigela Airport,-9.3375,149.1556
